Level 1,Level 1 (Arabic),Level 2,Level 2 (Arabic),Level 3,Level 3 (Arabic),Level 1 Keywords & Synonyms,Level 2 Keywords & Synonyms,Level 3 Keywords & Synonyms
Food & Drink,الطعام والشراب,Restaurants,مطاعم,Saudi Cuisine,المطبخ السعودي,Food & Drink; الطعام والشراب,Restaurants; مطاعم; eatery; dining place; food joint,Saudi Cuisine; المطبخ السعودي
Food & Drink,الطعام والشراب,Restaurants,مطاعم,Mandi,مندي,Food & Drink; الطعام والشراب,Restaurants; مطاعم; eatery; dining place; food joint,Mandi; مندي
Food & Drink,الطعام والشراب,Restaurants,مطاعم,Kabsa,كبسة,Food & Drink; الطعام والشراب,Restaurants; مطاعم; eatery; dining place; food joint,Kabsa; كبسة
Food & Drink,الطعام والشراب,Restaurants,مطاعم,Jarish,جريش,Food & Drink; الطعام والشراب,Restaurants; مطاعم; eatery; dining place; food joint,Jarish; جريش
Food & Drink,الطعام والشراب,Restaurants,مطاعم,Middle Eastern Cuisine,مطابخ شرق أوسطية,Food & Drink; الطعام والشراب,Restaurants; مطاعم; eatery; dining place; food joint,Middle Eastern Cuisine; مطابخ شرق أوسطية
Food & Drink,الطعام والشراب,Restaurants,مطاعم,Lebanese,لبنانية,Food & Drink; الطعام والشراب,Restaurants; مطاعم; eatery; dining place; food joint,Lebanese; لبنانية
Food & Drink,الطعام والشراب,Restaurants,مطاعم,Syrian,سورية,Food & Drink; الطعام والشراب,Restaurants; مطاعم; eatery; dining place; food joint,Syrian; سورية
Food & Drink,الطعام والشراب,Restaurants,مطاعم,Palestinian,فلسطينية,Food & Drink; الطعام والشراب,Restaurants; مطاعم; eatery; dining place; food joint,Palestinian; فلسطينية
Food & Drink,الطعام والشراب,Restaurants,مطاعم,Turkish,تركية,Food & Drink; الطعام والشراب,Restaurants; مطاعم; eatery; dining place; food joint; Turkish food; Turkey cuisine,Turkish; تركية
Food & Drink,الطعام والشراب,Restaurants,مطاعم,Egyptian,مصرية,Food & Drink; الطعام والشراب,Restaurants; مطاعم; eatery; dining place; food joint,Egyptian; مصرية
Food & Drink,الطعام والشراب,Restaurants,مطاعم,International Cuisine,مأكولات عالمية,Food & Drink; الطعام والشراب,Restaurants; مطاعم; eatery; dining place; food joint,International Cuisine; مأكولات عالمية
Food & Drink,الطعام والشراب,Restaurants,مطاعم,"Italian (Pizza, Pasta)","إيطالية (بيتزا، باستا)",Food & Drink; الطعام والشراب,Restaurants; مطاعم; Italian (Pizza; Pasta); eatery; dining place; food joint,"Italian (Pizza, Pasta); إيطالية (بيتزا، باستا)"
Food & Drink,الطعام والشراب,Restaurants,مطاعم,"American (Burgers, Steak)","أمريكية (برجر، ستيك)",Food & Drink; الطعام والشراب,Restaurants; مطاعم; American (Burgers; Steak); eatery; dining place; food joint,"American (Burgers, Steak); أمريكية (برجر، ستيك)"
Food & Drink,الطعام والشراب,Restaurants,مطاعم,"Indian (Biryani, Curry)","هندية (برياني، كاري)",Food & Drink; الطعام والشراب,Restaurants; مطاعم; Indian (Biryani; Curry); eatery; dining place; food joint,"Indian (Biryani, Curry); هندية (برياني، كاري)"
Food & Drink,الطعام والشراب,Restaurants,مطاعم,Chinese,صينية,Food & Drink; الطعام والشراب,Restaurants; مطاعم; eatery; dining place; food joint,Chinese; صينية
Food & Drink,الطعام والشراب,Restaurants,مطاعم,"Japanese (Sushi, Ramen)","يابانية (سوشي، رامن)",Food & Drink; الطعام والشراب,Restaurants; مطاعم; Japanese (Sushi; Ramen); eatery; dining place; food joint,"Japanese (Sushi, Ramen); يابانية (سوشي، رامن)"
Food & Drink,الطعام والشراب,Restaurants,مطاعم,Filipino,فلبينية,Food & Drink; الطعام والشراب,Restaurants; مطاعم; eatery; dining place; food joint,Filipino; فلبينية
Food & Drink,الطعام والشراب,Restaurants,مطاعم,Fast Food,وجبات سريعة,Food & Drink; الطعام والشراب,Restaurants; مطاعم; eatery; dining place; food joint,Fast Food; وجبات سريعة
Food & Drink,الطعام والشراب,Restaurants,مطاعم,Shawarma,شاورما,Food & Drink; الطعام والشراب,Restaurants; مطاعم; eatery; dining place; food joint,Shawarma; شاورما
Food & Drink,الطعام والشراب,Restaurants,مطاعم,Broast,بروستد,Food & Drink; الطعام والشراب,Restaurants; مطاعم; eatery; dining place; food joint,Broast; بروستد
Food & Drink,الطعام والشراب,Restaurants,مطاعم,Fried Chicken,دجاج مقلي,Food & Drink; الطعام والشراب,Restaurants; مطاعم; eatery; dining place; food joint,Fried Chicken; دجاج مقلي
Food & Drink,الطعام والشراب,Restaurants,مطاعم,Sandwiches,ساندويتشات,Food & Drink; الطعام والشراب,Restaurants; مطاعم; eatery; dining place; food joint,Sandwiches; ساندويتشات
Food & Drink,الطعام والشراب,Restaurants,مطاعم,Healthy Food,طعام صحي,Food & Drink; الطعام والشراب,Restaurants; مطاعم; eatery; dining place; food joint,Healthy Food; طعام صحي
Food & Drink,الطعام والشراب,Restaurants,مطاعم,Salad Bars,بارات السلطة,Food & Drink; الطعام والشراب,Restaurants; مطاعم; eatery; dining place; food joint,Salad Bars; بارات السلطة
Food & Drink,الطعام والشراب,Restaurants,مطاعم,Vegan,نباتي,Food & Drink; الطعام والشراب,Restaurants; مطاعم; eatery; dining place; food joint,Vegan; نباتي
Food & Drink,الطعام والشراب,Restaurants,مطاعم,Juices & Smoothies,عصائر وسموذي,Food & Drink; الطعام والشراب,Restaurants; مطاعم; eatery; dining place; food joint,Juices & Smoothies; عصائر وسموذي
Food & Drink,الطعام والشراب,Cafes & Tea,مقاهي وشاي,Specialty Coffee,قهوة مختصة,Food & Drink; الطعام والشراب,Cafes & Tea; مقاهي وشاي; coffee shop; coffeehouse; café,Specialty Coffee; قهوة مختصة
Food & Drink,الطعام والشراب,Cafes & Tea,مقاهي وشاي,Arabic Coffee,قهوة عربية,Food & Drink; الطعام والشراب,Cafes & Tea; مقاهي وشاي; coffee shop; coffeehouse; café,Arabic Coffee; قهوة عربية
Food & Drink,الطعام والشراب,Cafes & Tea,مقاهي وشاي,Turkish Coffee,قهوة تركية,Food & Drink; الطعام والشراب,Cafes & Tea; مقاهي وشاي; coffee shop; coffeehouse; café; Turkish food; Turkey cuisine,Turkish Coffee; قهوة تركية
Food & Drink,الطعام والشراب,Cafes & Tea,مقاهي وشاي,Karak,كرك,Food & Drink; الطعام والشراب,Cafes & Tea; مقاهي وشاي; coffee shop; coffeehouse; café,Karak; كرك
Food & Drink,الطعام والشراب,Cafes & Tea,مقاهي وشاي,Tea Houses,بيوت الشاي,Food & Drink; الطعام والشراب,Cafes & Tea; مقاهي وشاي; coffee shop; coffeehouse; café,Tea Houses; بيوت الشاي
Food & Drink,الطعام والشراب,Cafes & Tea,مقاهي وشاي,Dessert Cafes,مقاهي الحلويات,Food & Drink; الطعام والشراب,Cafes & Tea; مقاهي وشاي; coffee shop; coffeehouse; café,Dessert Cafes; مقاهي الحلويات
Food & Drink,الطعام والشراب,Cafes & Tea,مقاهي وشاي,Waffles,وافل,Food & Drink; الطعام والشراب,Cafes & Tea; مقاهي وشاي; coffee shop; coffeehouse; café; waffle shop; waffle house,Waffles; وافل
Food & Drink,الطعام والشراب,Cafes & Tea,مقاهي وشاي,Pancakes,فطائر,Food & Drink; الطعام والشراب,Cafes & Tea; مقاهي وشاي; coffee shop; coffeehouse; café; cake shop; bakery cake shop,Pancakes; فطائر
Food & Drink,الطعام والشراب,Cafes & Tea,مقاهي وشاي,Crepes,كريب,Food & Drink; الطعام والشراب,Cafes & Tea; مقاهي وشاي; coffee shop; coffeehouse; café,Crepes; كريب
Food & Drink,الطعام والشراب,Cafes & Tea,مقاهي وشاي,Ice Cream,آيس كريم,Food & Drink; الطعام والشراب,Cafes & Tea; مقاهي وشاي; coffee shop; coffeehouse; café; gelato; ice cream shop,Ice Cream; آيس كريم
Food & Drink,الطعام والشراب,Cafes & Tea,مقاهي وشاي,Kunafa,كنافة,Food & Drink; الطعام والشراب,Cafes & Tea; مقاهي وشاي; coffee shop; coffeehouse; café,Kunafa; كنافة
Food & Drink,الطعام والشراب,Bakeries & Sweets,مخابز وحلويات,Bakeries,مخابز,Food & Drink; الطعام والشراب,Bakeries & Sweets; مخابز وحلويات,Bakeries; مخابز
Food & Drink,الطعام والشراب,Bakeries & Sweets,مخابز وحلويات,Bread,خبز,Food & Drink; الطعام والشراب,Bakeries & Sweets; مخابز وحلويات,Bread; خبز
Food & Drink,الطعام والشراب,Bakeries & Sweets,مخابز وحلويات,Pastries,معجنات,Food & Drink; الطعام والشراب,Bakeries & Sweets; مخابز وحلويات,Pastries; معجنات
Food & Drink,الطعام والشراب,Bakeries & Sweets,مخابز وحلويات,Arabic Sweets,حلويات عربية,Food & Drink; الطعام والشراب,Bakeries & Sweets; مخابز وحلويات,Arabic Sweets; حلويات عربية
Food & Drink,الطعام والشراب,Bakeries & Sweets,مخابز وحلويات,Baklava,بقلاوة,Food & Drink; الطعام والشراب,Bakeries & Sweets; مخابز وحلويات,Baklava; بقلاوة
Food & Drink,الطعام والشراب,Bakeries & Sweets,مخابز وحلويات,Maamoul,معمول,Food & Drink; الطعام والشراب,Bakeries & Sweets; مخابز وحلويات,Maamoul; معمول
Food & Drink,الطعام والشراب,Bakeries & Sweets,مخابز وحلويات,Basbousa,بسبوسة,Food & Drink; الطعام والشراب,Bakeries & Sweets; مخابز وحلويات,Basbousa; بسبوسة
Food & Drink,الطعام والشراب,Bakeries & Sweets,مخابز وحلويات,Chocolatiers,شوكولاتة,Food & Drink; الطعام والشراب,Bakeries & Sweets; مخابز وحلويات,Chocolatiers; شوكولاتة
Food & Drink,الطعام والشراب,Bakeries & Sweets,مخابز وحلويات,Candy Shops,محلات حلوى,Food & Drink; الطعام والشراب,Bakeries & Sweets; مخابز وحلويات,Candy Shops; محلات حلوى
Retail,تجارة التجزئة,Grocery & Markets,بقالة وأسواق,Hypermarkets,هايبرماركت,Retail; تجارة التجزئة,Grocery & Markets; بقالة وأسواق; grocery store; market,Hypermarkets; هايبرماركت
Retail,تجارة التجزئة,Grocery & Markets,بقالة وأسواق,Supermarkets,سوبرماركت,Retail; تجارة التجزئة,Grocery & Markets; بقالة وأسواق; grocery store; market; hypermarket,Supermarkets; سوبرماركت
Retail,تجارة التجزئة,Grocery & Markets,بقالة وأسواق,Mini Markets,بقالات,Retail; تجارة التجزئة,Grocery & Markets; بقالة وأسواق; grocery store; market,Mini Markets; بقالات
Retail,تجارة التجزئة,Grocery & Markets,بقالة وأسواق,Organic Stores,متاجر عضوية,Retail; تجارة التجزئة,Grocery & Markets; بقالة وأسواق; grocery store; market,Organic Stores; متاجر عضوية
Retail,تجارة التجزئة,Grocery & Markets,بقالة وأسواق,Dates Shops,محلات تمور,Retail; تجارة التجزئة,Grocery & Markets; بقالة وأسواق; grocery store; market,Dates Shops; محلات تمور
Retail,تجارة التجزئة,Convenience Stores & Kiosks,متاجر ملائمة وأكشاك,Corner Shops,محلات على الزاوية,Retail; تجارة التجزئة,Convenience Stores & Kiosks; متاجر ملائمة وأكشاك,Corner Shops; محلات على الزاوية
Retail,تجارة التجزئة,Convenience Stores & Kiosks,متاجر ملائمة وأكشاك,24/7 Stores,محلات 24 ساعة,Retail; تجارة التجزئة,Convenience Stores & Kiosks; متاجر ملائمة وأكشاك,24/7 Stores; محلات 24 ساعة
Retail,تجارة التجزئة,Convenience Stores & Kiosks,متاجر ملائمة وأكشاك,Gas Station Stores,متاجر محطات الوقود,Retail; تجارة التجزئة,Convenience Stores & Kiosks; متاجر ملائمة وأكشاك,Gas Station Stores; متاجر محطات الوقود
Retail,تجارة التجزئة,Electronics,إلكترونيات,Mobile Phones & Accessories,هواتف واكسسوارات,Retail; تجارة التجزئة,Electronics; إلكترونيات,Mobile Phones & Accessories; هواتف واكسسوارات
Retail,تجارة التجزئة,Electronics,إلكترونيات,Computers & Laptops,كمبيوترات,Retail; تجارة التجزئة,Electronics; إلكترونيات,Computers & Laptops; كمبيوترات
Retail,تجارة التجزئة,Electronics,إلكترونيات,Gaming,ألعاب,Retail; تجارة التجزئة,Electronics; إلكترونيات,Gaming; ألعاب
Retail,تجارة التجزئة,Electronics,إلكترونيات,Home Appliances,أجهزة منزلية,Retail; تجارة التجزئة,Electronics; إلكترونيات; appliance store; appliance shop,Home Appliances; أجهزة منزلية
Retail,تجارة التجزئة,Electronics,إلكترونيات,Electronics Repair,إصلاح إلكترونيات,Retail; تجارة التجزئة,Electronics; إلكترونيات; fixing; servicing; maintenance; device repair; electronics service center,Electronics Repair; إصلاح إلكترونيات
Retail,تجارة التجزئة,Fashion,أزياء,Men's Fashion,أزياء رجالية,Retail; تجارة التجزئة,Fashion; أزياء,Men's Fashion; أزياء رجالية
Retail,تجارة التجزئة,Fashion,أزياء,Women's Fashion,أزياء نسائية,Retail; تجارة التجزئة,Fashion; أزياء,Women's Fashion; أزياء نسائية
Retail,تجارة التجزئة,Fashion,أزياء,Kids Fashion,أزياء الأطفال,Retail; تجارة التجزئة,Fashion; أزياء,Kids Fashion; أزياء الأطفال
Retail,تجارة التجزئة,Fashion,أزياء,Abayas,عبايات,Retail; تجارة التجزئة,Fashion; أزياء,Abayas; عبايات
Retail,تجارة التجزئة,Fashion,أزياء,Traditional Wear,لباس تقليدي,Retail; تجارة التجزئة,Fashion; أزياء,Traditional Wear; لباس تقليدي
Retail,تجارة التجزئة,Fashion,أزياء,Shoes,أحذية,Retail; تجارة التجزئة,Fashion; أزياء,Shoes; أحذية
Retail,تجارة التجزئة,Fashion,أزياء,Bags,حقائب,Retail; تجارة التجزئة,Fashion; أزياء,Bags; حقائب
Retail,تجارة التجزئة,Fashion,أزياء,Accessories,اكسسوارات,Retail; تجارة التجزئة,Fashion; أزياء,Accessories; اكسسوارات
Retail,تجارة التجزئة,Jewelry & Watches,مجوهرات وساعات,Gold,ذهب,Retail; تجارة التجزئة,Jewelry & Watches; مجوهرات وساعات,Gold; ذهب
Retail,تجارة التجزئة,Jewelry & Watches,مجوهرات وساعات,Diamonds,ألماس,Retail; تجارة التجزئة,Jewelry & Watches; مجوهرات وساعات,Diamonds; ألماس
Retail,تجارة التجزئة,Jewelry & Watches,مجوهرات وساعات,Luxury Watches,ساعات فاخرة,Retail; تجارة التجزئة,Jewelry & Watches; مجوهرات وساعات,Luxury Watches; ساعات فاخرة
Retail,تجارة التجزئة,Jewelry & Watches,مجوهرات وساعات,Silver,فضة,Retail; تجارة التجزئة,Jewelry & Watches; مجوهرات وساعات,Silver; فضة
