district_name_en,district_name_ar,city_name_en,city_name_ar,province_name_en,province_name_ar
Al Amal Dist.,حي العمل,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Namudhajiyah Dist.,حي النموذجية,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Jarradiyah Dist.,حي الجرادية,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Sinaiyah Dist.,حي الصناعية,Riyadh,الرياض,Riyadh,منطقة الرياض
Manfuha Al Jadidah Dist.,حي منفوحة الجديدة,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Fakhiriyah Dist.,حي الفاخرية,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Dirah Dist.,حي الديرة,Riyadh,الرياض,Riyadh,منطقة الرياض
East Umm Al Hamam Dist.,حي ام الحمام الشرقي,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Sharafiyah Dist.,حي الشرفية,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Hada Dist.,حي الهدا,Riyadh,الرياض,Riyadh,منطقة الرياض
North Mathar Dist.,حي المعذر الشمالي,Riyadh,الرياض,Riyadh,منطقة الرياض
West Umm Al Hamam Dist.,حي ام الحمام الغربي,Riyadh,الرياض,Riyadh,منطقة الرياض
Ar Rahmaniyah Dist.,حي الرحمانية,Riyadh,الرياض,Riyadh,منطقة الرياض
Laban Dist.,حي لبن,Riyadh,الرياض,Riyadh,منطقة الرياض
Ar Rafiah Dist.,حي الرفيعة,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Shohda Dist.,حي الشهداء,Riyadh,الرياض,Riyadh,منطقة الرياض
King Fahd Dist.,حي الملك فهد,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Suwaidi Dist.,حي السويدي,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Hazm Dist.,حي الحزم,Riyadh,الرياض,Riyadh,منطقة الرياض
Utayqah Dist.,حي عتيقة,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Murabba Dist.,حي المربع,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Falah Dist.,حي الفلاح,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Nada Dist.,حي الندى,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Mursalat Dist.,حي المرسلات,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Nuzha Dist.,حي النزهة,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Woroud Dist.,حي الورود,Riyadh,الرياض,Riyadh,منطقة الرياض
King Faisal Dist.,حي الملك فيصل,Riyadh,الرياض,Riyadh,منطقة الرياض
2nd Industrial City,المدينة الصناعية الثانية,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Aziziyah Dist.,حي العزيزية,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Mansurah Dist.,حي المنصورة,Riyadh,الرياض,Riyadh,منطقة الرياض
Ghobairah Dist.,حي غبيرة,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Farooq Dist.,حي الفاروق,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Faisaliyah Dist.,حي الفيصلية,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Khalidiyah Dist.,حي الخالدية,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Jazeerah Dist.,حي الجزيرة,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Saadah Dist.,حي السعادة,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Nasiriyah Dist.,حي الناصرية,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Manakh Dist.,حي المناخ,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Difaa Dist.,حي الدفاع,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Noor Dist.,حي النور,Riyadh,الرياض,Riyadh,منطقة الرياض
King Abdullah Dist.,حي الملك عبدالله,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Wahah Dist.,حي الواحة,Riyadh,الرياض,Riyadh,منطقة الرياض
Salahuddin Dist.,حي صلاح الدين,Riyadh,الرياض,Riyadh,منطقة الرياض
King Abdulaziz Dist.,حي الملك عبدالعزيز,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Wizarat Dist.,حي الوزارات,Riyadh,الرياض,Riyadh,منطقة الرياض
Skirinah Dist.,حي سكيرينة,Riyadh,الرياض,Riyadh,منطقة الرياض
Ar Rabwah Dist.,حي الربوة,Riyadh,الرياض,Riyadh,منطقة الرياض
Jareer Dist.,حي جرير,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Mathar Dist.,حي المعذر,Riyadh,الرياض,Riyadh,منطقة الرياض
As Salhiyah Dist.,حي الصالحية,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Malaz Dist.,حي الملز,Riyadh,الرياض,Riyadh,منطقة الرياض
Manfuhah Dist.,حي منفوحة,Riyadh,الرياض,Riyadh,منطقة الرياض
Olaishah Dist.,حي عليشة,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Nahdah Dist.,حي النهضة,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Khaleej Dist.,حي الخليج,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Dhubbat Dist.,حي الضباط,Riyadh,الرياض,Riyadh,منطقة الرياض
West Suwaidi Dist.,حي السويدي الغربي,Riyadh,الرياض,Riyadh,منطقة الرياض
Dirab Dist.,حي ديراب,Riyadh,الرياض,Riyadh,منطقة الرياض
Ohod Dist.,حي احد,Riyadh,الرياض,Riyadh,منطقة الرياض
Namar Dist.,حي نمار,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Shifa Dist.,حي الشفا,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Muhammadiyah Dist.,حي المحمدية,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Sulaimaniyah Dist.,حي السليمانية,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Marwah Dist.,حي المروة,Riyadh,الرياض,Riyadh,منطقة الرياض
Okaz Dist.,حي عكاظ,Riyadh,الرياض,Riyadh,منطقة الرياض
Shubra Dist.,حي شبرا,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Zahrah Dist.,حي الزهرة,Riyadh,الرياض,Riyadh,منطقة الرياض
Siyah Dist.,حي صياح,Riyadh,الرياض,Riyadh,منطقة الرياض
Sultanah Dist.,حي سلطانة,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Yamamah Dist.,حي اليمامة,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Badiah Dist.,حي البديعة,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Masani Dist.,حي المصانع,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Qadisiyah Dist.,حي القادسية,Riyadh,الرياض,Riyadh,منطقة الرياض
Al Safa Dist.,حي الصفا,Riyadh,الرياض,Riyadh,منطقة الرياض
